#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	134.338	1732.899	-47.357	0.003	0.018	1.001	-53.390
1993	128.270	1738.004	-47.356	-0.055	-0.013	1.007	-53.142
1994	117.528	1743.786	-47.309	0.043	0.008	1.012	-52.567
1995	105.260	1747.087	-47.278	0.045	0.017	1.009	-53.386
1996	92.176	1750.689	-47.288	-0.010	-0.005	1.007	-53.252
1997	78.525	1757.331	-47.248	0.000	0.002	1.017	-52.433
1998	65.805	1764.897	-47.199	0.000	0.007	1.032	-52.914
1999	54.847	1771.064	-47.200	-0.005	0.005	1.032	-53.262
2000	45.672	1773.282	-47.204	0.007	0.011	1.021	-53.147
2001	37.980	1772.894	-47.200	0.001	0.006	1.017	-53.230
2002	31.625	1774.592	-47.203	-0.007	-0.000	1.020	-53.211
2003	26.360	1776.869	-47.191	0.002	0.009	1.021	-52.960
2004	21.958	1776.132	-47.190	0.009	0.017	1.016	-53.482
2005	18.329	1774.741	-47.209	0.005	0.008	1.013	-53.354
2006	15.340	1776.533	-47.212	0.003	0.003	1.015	-53.124
2007	12.868	1781.880	-47.196	0.001	0.000	1.019	-52.902
2008	10.802	1788.419	-47.190	0.000	-0.001	1.023	-53.212
2009	9.055	1794.567	-47.241	-0.004	-0.002	1.032	-53.895
2010	7.570	1800.362	-47.310	-0.008	-0.001	1.045	-53.615
2011	6.305	1805.146	-47.344	0.007	0.003	1.054	-53.426
2012	5.237	1809.001	-47.355	0.011	0.003	1.057	-53.289
2013	4.359	1815.357	-47.364	-0.005	-0.006	1.058	-53.336
2014	3.640	1824.668	-47.366	-0.005	-0.005	1.056	-53.107
