C01 TITLE: CH4 monthly mean data 
C02 FILE NAME: rpb413n00.agage.as.cn.ch4.gage.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 163
C05 HEADER LINES: 32
C06 DATA VERSION: 200910
C07 STATION NAME: Ragged Point 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: Barbados
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: 13.17
C13 LONGITUDE: -59.43
C14 ALTITUDE: 45
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: raywang@eas.gatech.edu
C18 PARAMETER: CH4
C19 COVERING PERIOD: 1985-08-01 1996-06-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: Gas Chromatography (FID)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: Tohoku University Standard
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME        CH4    ND      SD     F CS       REM
1985-08-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1985-09-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1985-10-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1985-11-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1985-12-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-01-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-02-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-03-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-04-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-05-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-06-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-07-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-08-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-09-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
1986-10-01 00:00 9999-99-99 99:99 -99999999. -9999 -99999. -9999  0 -99999999
