C01 TITLE: CH4 monthly mean data 
C02 FILE NAME: mhd653n00.agage.as.cn.ch4.gage.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 122
C05 HEADER LINES: 32
C06 DATA VERSION: 200710
C07 STATION NAME: Mace Head 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: Ireland
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: 53.33
C13 LONGITUDE: -9.9
C14 ALTITUDE: 25
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: cunnold@eas.gatech.edu
C18 PARAMETER: CH4
C19 COVERING PERIOD: 1987-01-01 1994-06-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: Gas Chromatography (FID)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: Tohoku University Standard
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME        CH4    ND      SD     F CS       REM
1987-01-01 00:00 9999-99-99 99:99    1809.33    75   25.31 -9999  0 -99999999
1987-02-01 00:00 9999-99-99 99:99    1796.04   134   25.63 -9999  0 -99999999
1987-03-01 00:00 9999-99-99 99:99    1783.75   229   22.31 -9999  0 -99999999
1987-04-01 00:00 9999-99-99 99:99    1774.35   241   18.81 -9999  0 -99999999
1987-05-01 00:00 9999-99-99 99:99    1762.53   269   15.58 -9999  0 -99999999
1987-06-01 00:00 9999-99-99 99:99    1735.64   355   14.69 -9999  0 -99999999
1987-07-01 00:00 9999-99-99 99:99    1724.66   315   16.15 -9999  0 -99999999
1987-08-01 00:00 9999-99-99 99:99    1723.00   246   29.10 -9999  0 -99999999
1987-09-01 00:00 9999-99-99 99:99    1758.45   331   26.26 -9999  0 -99999999
1987-10-01 00:00 9999-99-99 99:99    1792.58   261   11.84 -9999  0 -99999999
1987-11-01 00:00 9999-99-99 99:99    1763.59   257   16.65 -9999  0 -99999999
1987-12-01 00:00 9999-99-99 99:99    1764.71   184   30.06 -9999  0 -99999999
1988-01-01 00:00 9999-99-99 99:99    1798.08   219   24.49 -9999  0 -99999999
1988-02-01 00:00 9999-99-99 99:99    1798.84   300   15.97 -9999  0 -99999999
1988-03-01 00:00 9999-99-99 99:99    1794.22   162   11.11 -9999  0 -99999999
1988-04-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-05-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-06-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-07-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-09-01 00:00 9999-99-99 99:99    1763.45   100   10.34 -9999  0 -99999999
1988-10-01 00:00 9999-99-99 99:99    1772.55   263   24.51 -9999  0 -99999999
1988-11-01 00:00 9999-99-99 99:99    1832.06   178   16.24 -9999  0 -99999999
1988-12-01 00:00 9999-99-99 99:99    1801.44   336   16.27 -9999  0 -99999999
1989-01-01 00:00 9999-99-99 99:99    1810.23   331   19.54 -9999  0 -99999999
1989-02-01 00:00 9999-99-99 99:99    1813.52   309   14.65 -9999  0 -99999999
1989-03-01 00:00 9999-99-99 99:99    1809.53   281   15.86 -9999  0 -99999999
1989-04-01 00:00 9999-99-99 99:99    1833.46   233   14.21 -9999  0 -99999999
