C01 TITLE: CH4 monthly mean data 
C02 FILE NAME: smo514s00.agage.as.cn.ch4.gage.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 167
C05 HEADER LINES: 32
C06 DATA VERSION: 200710
C07 STATION NAME: Tutuila (Cape Matatula) 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: United States of America
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: -14.24
C13 LONGITUDE: -170.57
C14 ALTITUDE: 42
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: cunnold@eas.gatech.edu
C18 PARAMETER: CH4
C19 COVERING PERIOD: 1985-07-01 1996-09-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: Gas Chromatography (FID)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: Tohoku University Standard
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME        CH4    ND      SD     F CS       REM
1985-07-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-10-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-11-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-12-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-01-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-02-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-03-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-04-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-05-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-06-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-07-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-10-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-11-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1986-12-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1987-01-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1987-02-01 00:00 9999-99-99 99:99    1626.88    96   10.49 -9999  0 -99999999
1987-03-01 00:00 9999-99-99 99:99    1636.80   242   13.82 -9999  0 -99999999
1987-04-01 00:00 9999-99-99 99:99    1631.10   333   11.96 -9999  0 -99999999
1987-05-01 00:00 9999-99-99 99:99    1631.93   340    6.99 -9999  0 -99999999
1987-06-01 00:00 9999-99-99 99:99    1622.17   325    5.60 -9999  0 -99999999
1987-07-01 00:00 9999-99-99 99:99    1625.42   366    4.67 -9999  0 -99999999
1987-08-01 00:00 9999-99-99 99:99    1628.61   366    4.57 -9999  0 -99999999
1987-09-01 00:00 9999-99-99 99:99    1628.33   346    4.72 -9999  0 -99999999
1987-10-01 00:00 9999-99-99 99:99    1634.45   272    8.02 -9999  0 -99999999
1987-11-01 00:00 9999-99-99 99:99    1636.45   334    5.46 -9999  0 -99999999
1987-12-01 00:00 9999-99-99 99:99    1639.23   336   12.13 -9999  0 -99999999
1988-01-01 00:00 9999-99-99 99:99    1637.95   350   16.25 -9999  0 -99999999
1988-02-01 00:00 9999-99-99 99:99    1648.60   313   12.46 -9999  0 -99999999
1988-03-01 00:00 9999-99-99 99:99    1631.26   346   19.02 -9999  0 -99999999
1988-04-01 00:00 9999-99-99 99:99    1649.60   308   16.03 -9999  0 -99999999
1988-05-01 00:00 9999-99-99 99:99    1634.68   202    9.71 -9999  0 -99999999
1988-06-01 00:00 9999-99-99 99:99    1637.32   335    7.71 -9999  0 -99999999
1988-07-01 00:00 9999-99-99 99:99    1646.19   218    7.55 -9999  0 -99999999
1988-08-01 00:00 9999-99-99 99:99    1653.00   350    4.98 -9999  0 -99999999
1988-09-01 00:00 9999-99-99 99:99    1653.04   226    5.90 -9999  0 -99999999
1988-10-01 00:00 9999-99-99 99:99    1658.56   330    8.81 -9999  0 -99999999
1988-11-01 00:00 9999-99-99 99:99    1663.85   239    6.07 -9999  0 -99999999
1988-12-01 00:00 9999-99-99 99:99    1663.55   323   12.87 -9999  0 -99999999
1989-01-01 00:00 9999-99-99 99:99    1669.97   345   12.67 -9999  0 -99999999
1989-02-01 00:00 9999-99-99 99:99    1668.95   305    8.86 -9999  0 -99999999
1989-03-01 00:00 9999-99-99 99:99    1667.88    70   10.51 -9999  0 -99999999
